# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 18:07:43.007
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
4.401985,0.002,0.016,0.005,0.017
4.406362,0.002,0.022,0.005,0.023
4.406393,0.004,0.017,0.006,0.019
4.408493,0.004,0.020,0.006,0.021
4.410576,0.005,0.021,0.006,0.022
4.413639,0.006,0.018,0.006,0.020
4.414782,0.006,0.018,0.006,0.020
4.416942,0.006,0.020,0.005,0.021
4.418997,0.006,0.022,0.006,0.024
4.422052,0.006,0.021,0.006,0.023
4.423740,0.005,0.020,0.006,0.021
4.425394,0.007,0.018,0.006,0.021
4.427580,0.008,0.018,0.007,0.022
4.430460,0.008,0.016,0.007,0.019
4.431540,0.008,0.016,0.006,0.019
4.433622,0.010,0.016,0.007,0.020
4.440180,0.008,0.017,0.007,0.020
4.446606,0.012,0.016,0.007,0.021
4.450970,0.012,0.016,0.006,0.021
4.457065,0.011,0.015,0.007,0.020
4.459171,0.011,0.021,0.006,0.024
4.464531,0.012,0.015,0.007,0.020
4.464561,0.011,0.015,0.008,0.020
4.465445,0.012,0.016,0.007,0.021
4.467562,0.013,0.016,0.008,0.022
4.474082,0.012,0.016,0.008,0.022
4.481937,0.015,0.018,0.008,0.025
4.484444,0.016,0.018,0.008,0.026
4.491540,0.017,0.022,0.010,0.030
4.496884,0.021,0.020,0.008,0.030
4.497265,0.027,0.025,0.008,0.037
4.499411,0.023,0.026,0.010,0.036
4.501328,0.026,0.023,0.010,0.036
4.504506,0.027,0.021,0.007,0.035
4.505564,0.028,0.027,0.007,0.040
4.507707,0.026,0.022,0.007,0.035
4.509861,0.028,0.026,0.007,0.039
4.511976,0.029,0.029,0.008,0.042
4.514224,0.026,0.026,0.008,0.037
4.516439,0.029,0.028,0.006,0.041
4.518397,0.030,0.028,0.006,0.042
4.521827,0.029,0.027,0.006,0.040
4.523631,0.028,0.026,0.006,0.039
4.524755,0.028,0.025,0.007,0.038
4.526893,0.030,0.023,0.007,0.039
4.529448,0.034,0.032,0.007,0.047
4.532027,0.036,0.031,0.007,0.048
4.533224,0.035,0.031,0.006,0.047
4.540067,0.036,0.031,0.006,0.048
4.545081,0.044,0.034,0.008,0.056
4.545881,0.046,0.034,0.006,0.058
4.548031,0.049,0.032,0.006,0.059
4.550046,0.050,0.031,0.007,0.059
4.553635,0.051,0.027,0.008,0.058
4.554303,0.054,0.031,0.007,0.062
4.556421,0.058,0.031,0.007,0.066
4.558571,0.062,0.032,0.008,0.070
4.563417,0.065,0.033,0.008,0.073
4.566986,0.072,0.037,0.007,0.081
4.577239,0.072,0.038,0.008,0.082
4.579901,0.073,0.053,0.007,0.090
4.581921,0.074,0.054,0.007,0.092
4.584399,0.076,0.060,0.008,0.097
4.588621,0.074,0.061,0.007,0.097
4.588650,0.074,0.062,0.007,0.097
4.590288,0.076,0.067,0.008,0.102
4.592388,0.076,0.067,0.008,0.102
4.599865,0.077,0.071,0.007,0.105
4.608117,0.082,0.075,0.008,0.111
4.615515,0.090,0.070,0.010,0.114
4.617914,0.102,0.066,0.008,0.122
4.630788,0.104,0.058,0.008,0.119
4.634902,0.132,0.038,0.010,0.138
4.640616,0.135,0.036,0.008,0.140
4.650125,0.145,0.031,0.007,0.149
4.658194,0.161,0.018,0.008,0.162
4.663280,0.168,0.016,0.011,0.170
4.663326,0.172,0.012,0.007,0.173
4.664608,0.176,0.014,0.007,0.176
4.666576,0.181,0.012,0.008,0.181
4.671862,0.181,0.009,0.008,0.181
4.671947,0.188,0.015,0.010,0.189
4.673295,0.194,0.010,0.011,0.195
4.675243,0.198,0.010,0.012,0.198
4.678729,0.203,0.010,0.012,0.203
4.679227,0.206,0.006,0.011,0.207
4.681515,0.206,0.006,0.011,0.207
4.683713,0.210,0.009,0.012,0.211
4.687780,0.212,0.007,0.012,0.213
4.687856,0.215,0.010,0.013,0.216
4.689935,0.216,0.006,0.015,0.217
4.691985,0.217,0.004,0.013,0.218
4.696157,0.221,0.007,0.013,0.222
4.696253,0.222,0.004,0.015,0.223
4.698416,0.223,0.004,0.013,0.224
4.700464,0.227,0.009,0.015,0.228
4.706124,0.226,0.006,0.016,0.227
4.706150,0.226,0.006,0.017,0.227
4.706767,0.225,0.003,0.016,0.225
4.708821,0.226,0.005,0.016,0.226
4.714475,0.226,0.006,0.016,0.227
4.714501,0.222,0.005,0.017,0.223
4.715186,0.222,0.007,0.017,0.223
4.717271,0.222,0.006,0.017,0.223
4.726668,0.221,0.006,0.018,0.222
4.730222,0.201,0.000,0.019,0.202
4.732340,0.200,0.005,0.016,0.201
4.734444,0.192,0.001,0.017,0.192
4.740059,0.183,-0.002,0.018,0.184
4.748948,0.156,-0.007,0.018,0.157
4.751224,0.134,-0.008,0.021,0.136
4.756550,0.128,-0.008,0.022,0.130
4.756580,0.122,-0.007,0.022,0.124
4.757517,0.121,-0.004,0.023,0.123
4.759668,0.120,0.001,0.022,0.122
4.770448,0.118,0.003,0.022,0.120
4.772654,0.135,0.049,0.024,0.146
4.774900,0.145,0.065,0.027,0.161
4.776865,0.164,0.094,0.029,0.191
4.783231,0.190,0.124,0.036,0.230
4.785397,0.347,0.273,0.069,0.447
4.796785,0.435,0.343,0.093,0.562
4.800055,2.371,0.837,0.811,2.642
4.812618,3.236,0.876,0.854,3.460
4.814850,8.617,2.616,1.143,9.077
4.817175,9.091,3.372,1.231,9.774
4.822669,9.482,4.072,1.300,10.401
4.822699,9.819,4.662,1.388,10.958
4.823655,10.099,5.182,1.518,11.451
4.825516,10.371,5.588,1.660,11.897
4.832180,10.631,5.805,1.781,12.243
4.837918,11.248,4.904,2.117,12.452
4.838000,11.351,4.538,2.148,12.412
4.840142,11.440,4.188,2.160,12.373
4.842257,11.480,3.813,2.155,12.288
4.846307,11.507,3.427,2.096,12.188
4.846496,11.507,3.094,1.931,12.071
4.848848,11.361,2.687,1.769,11.807
4.850746,10.518,1.557,1.528,10.742
4.857807,9.057,0.144,1.171,9.133
4.869600,3.342,-5.146,-0.604,6.166
4.872079,0.993,-2.337,-1.855,3.145
4.873953,0.851,-1.705,-2.153,2.875
4.876076,0.684,-1.225,-2.406,2.785
4.878772,0.445,-0.710,-2.612,2.743
4.880386,0.164,-0.089,-2.648,2.654
4.884110,-0.056,0.467,-2.527,2.570
4.884584,-0.132,0.802,-2.336,2.473
4.890576,-0.047,0.852,-2.135,2.299
4.893080,0.613,-0.244,-1.518,1.655
4.897526,0.789,-0.700,-1.279,1.658
4.897545,0.900,-0.986,-1.039,1.691
4.899377,0.915,-1.068,-0.852,1.644
4.901460,0.860,-1.058,-0.687,1.527
4.903679,0.743,-0.992,-0.539,1.351
4.905801,0.583,-0.936,-0.401,1.173
4.908175,0.391,-0.910,-0.269,1.026
4.910264,0.170,-0.916,-0.127,0.940
4.912255,-0.069,-0.934,0.022,0.937
4.914214,-0.319,-0.945,0.175,1.013
4.916336,-0.562,-0.930,0.322,1.133
4.921193,-0.795,-0.873,0.453,1.265
4.921220,-1.001,-0.817,0.561,1.408
4.923729,-1.174,-0.784,0.651,1.555
4.924757,-1.311,-0.771,0.723,1.684
4.932018,-1.423,-0.763,0.773,1.791
4.941733,-1.748,-0.710,0.798,2.049
4.948602,-1.941,-0.529,0.585,2.096
4.954933,-2.273,-0.310,0.309,2.314
4.958958,-2.571,-0.106,0.146,2.577
4.964960,-2.662,-0.022,0.105,2.664
4.967415,-2.881,0.266,0.013,2.893
4.973574,-2.936,0.357,-0.007,2.958
4.984037,-3.080,0.626,-0.053,3.143
4.992152,-3.213,0.703,-0.038,3.289
4.999142,-3.405,0.690,0.044,3.475
5.006847,-3.619,0.705,0.215,3.693
5.009618,-3.797,0.744,0.401,3.890
5.015650,-3.861,0.753,0.468,3.961
5.018025,-4.060,0.745,0.675,4.183
5.022402,-4.128,0.728,0.743,4.257
5.022458,-4.194,0.711,0.805,4.330
5.024696,-4.263,0.693,0.862,4.404
5.026533,-4.325,0.675,0.914,4.472
5.030714,-4.387,0.654,0.959,4.538
5.030834,-4.447,0.633,0.999,4.602
5.033073,-4.505,0.610,1.030,4.661
5.039775,-4.561,0.580,1.049,4.716
5.048500,-4.731,0.508,1.075,4.878
