# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-06-14 17:11:32.505
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.506318,0.5539,3.4458,1.8797,3.96
4.514563,0.7758,2.8282,2.3867,3.78
4.524836,1.0379,2.4918,1.5949,3.14
4.533480,0.8735,2.2519,1.0196,2.62
4.541746,0.8076,2.0773,-1.4861,2.68
4.554423,0.0289,1.6936,-3.8378,4.19
4.563911,-1.3154,0.5134,-2.9588,3.28
4.573072,-2.2700,-0.9265,-2.2337,3.32
4.584246,-3.0963,-2.0427,-2.4557,4.45
4.592933,-3.9724,-3.1597,-1.3620,5.26
4.605325,-4.4850,-4.3420,0.5583,6.27
4.618814,-4.5933,-5.5159,2.9417,7.76
4.628806,-3.9759,-6.3452,4.1125,8.54
4.635056,-2.2313,-6.4996,0.9225,6.93
4.643467,-0.2314,-5.6417,-5.7156,8.03
4.651918,1.0960,-4.9871,-10.4158,11.60
4.664752,0.7424,-6.0821,-8.5287,10.50
4.676245,-0.7814,-8.4212,-1.5023,8.59
4.686565,-2.2105,-10.0853,3.9768,11.06
4.694282,-3.1846,-10.8423,4.9261,12.33
4.702781,-3.4199,-10.8659,3.5865,11.94
4.715505,-3.2409,-10.9050,3.8346,12.01
4.724266,-2.1496,-11.0798,3.7455,11.89
4.734500,-0.6785,-10.5695,-0.4840,10.60
4.745029,0.1054,-9.5241,-5.1513,10.83
4.755734,-0.3938,-9.1982,-4.4720,10.24
4.763575,-1.1526,-9.4280,-1.2381,9.58
4.774764,-1.6247,-9.5567,2.1610,9.93
4.783244,-1.3666,-8.8780,2.9157,9.44
4.791672,-0.5145,-7.5088,1.4176,7.66
4.804310,0.1296,-6.4116,0.5215,6.43
4.813136,0.2001,-6.2170,0.8752,6.28
4.821505,0.6431,-6.3684,1.5578,6.59
4.833960,1.6618,-6.7812,0.8407,7.03
4.842676,2.4129,-8.6069,-0.2482,8.94
4.855160,2.7622,-9.7190,0.1389,10.10
4.868054,2.3586,0.3907,0.8062,2.52
4.878617,-0.2812,0.8295,3.6181,3.72
4.884762,1.1336,1.1837,-1.8005,2.43
4.893237,3.1354,-1.3474,-9.2797,9.89
4.901771,3.1435,-0.9466,-9.3318,9.89
4.914419,2.2954,-0.4492,-7.4987,7.86
