# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-06-14 17:41:59.499
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.501837,1.0180,-8.6831,-0.5336,8.76
4.515130,0.8596,-8.8147,-0.5064,8.87
4.529426,0.9672,-9.5221,0.9649,9.62
4.531442,1.4381,-9.8490,2.4563,10.25
4.539871,1.7970,-9.5825,2.6595,10.11
4.548928,2.4456,-9.3225,2.1262,9.87
4.561011,3.2287,-8.8851,1.9768,9.66
4.571313,3.8901,-8.0401,2.3010,9.22
4.583420,4.3766,-7.7122,2.7260,9.28
4.591494,4.8132,-7.5013,2.5801,9.28
4.599297,5.6375,-6.2697,0.8284,8.47
4.611899,6.7143,-4.8544,-2.3243,8.61
4.621975,7.6144,-5.2584,-3.3144,9.83
4.638258,8.0908,-6.7728,-0.8894,10.59
4.641732,2.9791,-0.2783,1.7361,3.46
4.650100,0.1577,3.1979,2.3175,3.95
4.658603,-1.4040,0.4166,2.8950,3.24
4.671192,-3.6462,-2.5957,-7.8315,9.02
4.679844,-0.2239,-2.4140,-10.4973,10.77
4.690068,0.7455,-1.5195,-9.2248,9.38
4.701169,1.4781,-0.8101,-7.4645,7.65
4.709304,-0.4805,-0.3673,-2.7124,2.78
4.721922,-0.3098,-0.3086,-4.0975,4.12
4.730482,0.1380,-0.2167,-3.3780,3.39
4.738966,0.2868,-0.0990,-1.1100,1.15
4.751635,0.1216,-0.0264,-0.7648,0.77
4.761081,-0.0619,-0.0498,-0.6840,0.69
4.768972,-0.0063,-0.0756,-0.6455,0.65
4.781454,0.0275,-0.0344,-0.5264,0.53
4.789612,-0.0654,0.0347,-0.1667,0.18
4.798200,-0.0713,0.0361,-0.0995,0.13
4.810845,0.0012,0.0225,-0.1285,0.13
4.819910,0.0108,0.0077,-0.1081,0.11
4.832869,-0.0222,0.0329,0.0466,0.06
4.840486,-0.0061,0.0481,0.0605,0.08
4.849056,-0.0376,0.0409,0.1248,0.14
4.861760,-0.0598,0.0365,0.1554,0.17
4.870591,-0.0994,0.0222,0.1374,0.17
4.878767,-0.1261,0.0371,0.1911,0.23
4.891254,-0.1282,0.0465,0.2499,0.28
4.899783,-0.1022,0.0383,0.1214,0.16
4.908976,-0.0884,0.0355,0.0689,0.12
4.921029,-0.0693,0.0365,0.0748,0.11
4.935399,-0.0628,0.0419,0.0435,0.09
4.937989,-0.0729,0.0306,0.0822,0.11
4.950614,-0.0321,0.0514,0.0842,0.10
4.959112,-0.0082,0.0418,-0.0105,0.04
4.971828,-0.0200,0.0210,-0.0093,0.03
4.980328,-0.0235,0.0176,-0.0175,0.03
4.989130,-0.0310,0.0213,0.0189,0.04
5.001415,0.0025,0.0424,0.0710,0.08
5.012168,-0.0112,0.0242,0.0604,0.07
5.028226,-0.0377,0.0096,0.1084,0.12
5.031276,-0.0032,0.0417,0.1330,0.14
5.039511,-0.0426,0.0470,0.0779,0.10
5.049058,-0.0416,0.0245,0.0536,0.07
5.060700,-0.0863,0.0175,0.0681,0.11
5.072523,-0.0643,0.0411,0.0394,0.09
5.083253,-0.0267,0.0223,0.0202,0.04
5.092582,-0.0340,0.0466,0.0442,0.07
5.098849,-0.0549,0.0483,0.0423,0.08
5.111710,-0.0092,0.0418,0.0159,0.05
5.122518,-0.0281,0.0320,-0.0007,0.04
5.137555,-0.0125,0.0419,0.0086,0.04
5.141243,-0.0155,0.0424,-0.0247,0.05
5.149580,-0.0333,0.0453,-0.0346,0.07
5.158067,-0.0333,0.0371,-0.0512,0.07
5.170856,-0.0465,0.0904,-0.0431,0.11
5.179433,-0.0647,0.0406,-0.0275,0.08
5.191869,-0.0339,0.0313,-0.0998,0.11
5.200316,-0.0275,0.0399,-0.1282,0.14
5.209103,-0.0292,0.0398,-0.1571,0.16
5.221669,-0.0390,0.0465,-0.1976,0.21
5.230138,-0.0020,-0.0133,-0.2305,0.23
5.244225,-0.0096,0.0794,-0.2196,0.23
5.253447,-0.0235,0.0815,-0.2412,0.26
5.261448,0.0126,0.0331,-0.4520,0.45
5.273662,-0.0002,0.0380,-0.4978,0.50
5.282087,-0.0108,0.0909,-0.5894,0.60
5.289333,0.1324,0.0819,-1.5218,1.53
5.301940,1.3389,-0.8632,-6.9738,7.15
5.315899,1.0907,1.2379,-14.1129,14.21
5.331069,0.3830,2.9732,-11.2398,11.63
5.331769,1.4792,3.1968,-8.4453,9.15
5.340132,1.7855,4.6185,-9.0839,10.35
5.348963,1.2155,5.6895,-15.0634,16.15
5.361222,-4.0083,12.1499,-22.8996,26.23
5.369691,-6.6926,13.0029,-29.9995,33.37
5.378128,-8.6731,24.6288,-46.4606,53.30
5.390846,-6.9947,32.5153,-45.0758,56.02
5.399390,-4.5010,26.3989,-34.5789,43.74
5.412089,-3.9450,24.1013,-15.4042,28.87
5.420658,-5.7309,24.7557,-0.6963,25.42
5.431009,-2.9106,17.5380,1.6668,17.86
5.441716,0.1286,12.5964,3.1489,12.98
5.450085,0.5864,12.2617,4.5312,13.09
5.458605,3.9994,13.5685,-0.0560,14.15
5.471349,5.6448,14.1305,-0.9871,15.25
5.484254,7.7634,15.2914,0.7308,17.16
5.489040,8.5168,15.5336,1.9761,17.83
5.500985,8.0875,13.8804,2.3557,16.24
5.515675,8.0210,11.8840,2.8579,14.62
5.530095,7.0209,10.1344,2.2668,12.54
5.531142,5.7163,8.2897,0.7473,10.10
5.539158,4.8463,6.8184,-0.9073,8.41
5.551748,3.6394,5.6868,-1.6758,6.96
5.562286,2.1540,3.8840,-1.6391,4.73
5.578095,0.6276,1.6805,-1.7515,2.51
5.581615,-0.6713,-0.2716,-2.3731,2.48
5.589845,-0.6686,-2.2071,-3.6113,4.28
5.598248,0.4687,-3.1563,-5.8478,6.66
5.611026,2.0965,-3.7878,-8.0498,9.14
5.621244,3.7817,-5.2311,-9.1229,11.18
5.637675,5.2870,-7.6738,-9.5361,13.33
5.640814,6.2211,-10.2639,-9.2425,15.15
5.649222,5.7553,-12.4722,-8.8480,16.34
5.661857,4.7118,-14.3459,-8.3402,17.25
5.673960,3.9716,-16.4052,-7.8504,18.62
5.686954,2.9037,-18.3378,-7.8481,20.16
5.691480,1.1864,-19.1228,-12.1697,22.70
5.699903,-0.3792,-17.5111,-10.3297,20.33
5.708976,-2.7725,-15.8875,-8.7038,18.33
5.721123,-4.1385,-17.4945,-5.6539,18.85
5.729561,-2.3324,-21.2747,-2.0638,21.50
5.738035,1.9267,-23.6434,-0.6621,23.73
5.750827,2.3509,-22.0449,0.8106,22.18
5.760725,-0.1251,-23.5548,1.5654,23.61
5.771950,-1.4547,-28.9157,0.7730,28.96
5.780422,-0.8202,-33.2319,1.6434,33.28
5.789117,0.8639,-36.2668,3.9898,36.50
5.801559,-0.2756,-35.6798,8.9257,36.78
5.811819,1.4576,-3.1437,15.0652,15.46
5.820311,7.8749,-5.5031,-6.7492,11.74
5.831227,-5.5661,-5.5402,-29.3341,30.37
5.839666,-8.8919,-4.2154,-23.2600,25.26
5.848902,-6.3911,-2.3423,-5.3232,8.64
5.860871,0.8107,-0.5824,0.5684,1.15
5.874328,1.6631,-0.4932,-5.8432,6.10
5.887080,0.1815,-0.9071,-12.8792,12.91
5.890476,-0.0254,-0.3000,-3.3355,3.35
5.900509,0.2720,-0.0824,-1.4025,1.43
5.911721,0.3242,0.0343,-1.0818,1.13
5.920121,0.0867,0.0660,-0.2224,0.25
5.928846,0.0155,0.0278,-0.4795,0.48
5.941281,0.0180,0.0487,-0.2809,0.29
5.949699,0.0365,0.1254,0.1289,0.18
5.958212,0.0215,0.1317,0.2931,0.32
5.971014,0.0228,0.1164,0.2677,0.29
5.979627,-0.0058,0.0873,0.0090,0.09
5.992096,-0.0839,0.1014,0.1917,0.23
6.001015,-0.0928,0.1065,0.1202,0.19
6.011416,-0.1038,0.0995,-0.0233,0.15
6.021910,-0.0735,0.1021,-0.0621,0.14
6.030284,-0.0661,0.0861,-0.0669,0.13
6.038757,-0.0536,0.1018,0.0080,0.12
6.051493,-0.0527,0.0957,-0.0362,0.12
6.062161,-0.0502,0.0778,-0.0268,0.10
6.069108,-0.0492,0.0743,-0.0360,0.10
6.080987,-0.0552,0.0846,-0.0120,0.10
6.089397,-0.0521,0.0741,-0.0105,0.09
6.097972,-0.0406,0.0702,0.0124,0.08
6.111418,-0.0692,0.0857,0.0910,0.14
6.124269,-0.0730,0.1086,0.0944,0.16
6.133694,-0.0540,0.0962,0.0710,0.13
6.140322,-0.0330,0.0883,0.0575,0.11
6.148925,-0.0436,0.0929,0.0432,0.11
6.161506,-0.0349,0.0849,0.0157,0.09
6.169976,-0.0537,0.0855,0.0267,0.10
6.182963,-0.0461,0.0951,0.0507,0.12
6.192001,0.0052,0.0859,-0.0017,0.09
6.199498,-0.0090,0.1082,-0.0168,0.11
6.209010,-0.0160,0.1149,-0.0441,0.12
6.220984,-0.0086,0.0992,-0.0557,0.11
6.232593,-0.0377,0.0978,-0.0415,0.11
6.242054,-0.0532,0.0985,-0.0647,0.13
6.252528,-0.0425,0.1121,-0.0788,0.14
6.259097,-0.0300,0.0577,-0.1260,0.14
6.271598,-0.0567,0.0720,-0.1573,0.18
6.280034,-0.1008,0.0858,-0.1478,0.20
6.288837,-0.0247,0.0405,-0.1298,0.14
6.301275,-0.0552,0.1272,-0.1281,0.19
6.314349,0.0239,0.0544,-0.1933,0.20
6.328376,0.0083,0.0897,-0.3392,0.35
6.330956,0.0550,0.1316,-0.4745,0.50
6.339343,0.0795,0.2144,-0.3969,0.46
6.351942,0.1333,0.4011,-0.4501,0.62
6.363290,0.5936,0.8661,-1.5210,1.85
6.371255,1.9806,4.1607,-17.3201,17.92
6.381617,5.0273,5.4540,-28.6868,29.63
6.390010,4.7200,8.4387,-19.8677,22.10
