# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 18:01:28.551
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004119,-0.022,-0.138,0.011,0.140
0.004191,-0.021,-0.133,0.013,0.135
0.007453,-0.015,-0.130,0.016,0.131
0.007726,-0.013,-0.133,0.019,0.135
0.009766,-0.010,-0.132,0.022,0.134
0.011844,-0.008,-0.136,0.026,0.138
0.014035,-0.006,-0.140,0.027,0.143
0.016322,-0.005,-0.145,0.028,0.148
0.018318,-0.001,-0.137,0.028,0.140
0.020343,0.001,-0.136,0.028,0.138
0.023552,0.004,-0.142,0.029,0.145
0.024619,0.004,-0.144,0.027,0.147
0.026719,0.005,-0.143,0.026,0.145
0.028837,0.009,-0.137,0.026,0.139
0.031863,0.014,-0.134,0.026,0.137
0.033223,0.020,-0.136,0.026,0.139
0.035358,0.026,-0.130,0.024,0.134
0.037570,0.032,-0.125,0.024,0.131
0.040304,0.036,-0.122,0.023,0.129
0.041615,0.040,-0.126,0.023,0.134
0.043881,0.048,-0.120,0.023,0.131
0.045864,0.053,-0.121,0.023,0.134
0.048526,0.062,-0.111,0.021,0.129
0.050082,0.065,-0.110,0.022,0.130
0.052207,0.070,-0.105,0.022,0.128
0.056634,0.072,-0.104,0.022,0.128
0.056672,0.076,-0.100,0.022,0.128
0.058564,0.081,-0.084,0.022,0.119
0.060641,0.082,-0.078,0.022,0.115
0.070400,0.083,-0.073,0.023,0.113
0.073545,0.080,-0.065,0.019,0.104
0.075494,0.082,-0.064,0.018,0.105
0.077616,0.087,-0.057,0.016,0.105
0.083070,0.091,-0.061,0.017,0.111
0.086180,0.099,-0.054,0.018,0.114
0.090991,0.099,-0.055,0.021,0.115
0.091058,0.098,-0.059,0.022,0.116
0.092472,0.097,-0.061,0.023,0.117
0.094560,0.092,-0.062,0.023,0.113
0.098616,0.088,-0.071,0.027,0.116
0.098904,0.087,-0.078,0.026,0.120
0.100981,0.084,-0.081,0.029,0.120
0.103799,0.084,-0.089,0.032,0.127
0.107036,0.087,-0.088,0.034,0.128
0.107500,0.091,-0.094,0.038,0.136
0.109376,0.097,-0.099,0.043,0.145
0.111415,0.108,-0.095,0.045,0.151
0.115260,0.111,-0.103,0.050,0.159
0.115898,0.122,-0.108,0.054,0.171
0.117808,0.130,-0.099,0.058,0.173
0.119975,0.139,-0.088,0.062,0.176
0.123555,0.147,-0.082,0.066,0.180
0.124271,0.152,-0.078,0.069,0.184
0.126256,0.159,-0.079,0.074,0.193
0.128522,0.165,-0.075,0.078,0.197
0.131766,0.165,-0.071,0.082,0.197
0.132625,0.170,-0.067,0.084,0.201
0.134767,0.172,-0.064,0.088,0.204
0.136883,0.174,-0.054,0.090,0.203
0.140084,0.179,-0.050,0.095,0.208
0.141102,0.175,-0.054,0.100,0.208
0.143617,0.177,-0.048,0.105,0.211
0.145359,0.179,-0.051,0.110,0.216
0.148502,0.175,-0.053,0.113,0.215
0.149581,0.176,-0.048,0.118,0.217
0.151827,0.177,-0.046,0.121,0.220
0.154019,0.175,-0.054,0.124,0.221
0.157046,0.176,-0.055,0.129,0.225
0.158067,0.177,-0.049,0.133,0.227
0.160386,0.176,-0.050,0.135,0.228
0.166845,0.177,-0.042,0.138,0.228
0.171188,0.170,-0.026,0.144,0.224
0.176362,0.165,-0.024,0.145,0.221
0.184621,0.161,0.004,0.149,0.220
0.191028,0.153,0.017,0.157,0.220
0.194309,0.148,0.024,0.161,0.220
0.199496,0.149,0.028,0.164,0.223
0.203471,0.152,0.055,0.164,0.230
0.207425,0.152,0.055,0.165,0.231
0.207495,0.155,0.062,0.165,0.235
0.208893,0.160,0.065,0.167,0.240
0.210978,0.165,0.067,0.167,0.244
0.217666,0.169,0.073,0.167,0.249
0.224813,0.186,0.083,0.172,0.267
0.227878,0.193,0.081,0.177,0.274
0.232971,0.194,0.081,0.176,0.274
0.233020,0.194,0.081,0.175,0.273
0.234272,0.199,0.082,0.172,0.276
0.236312,0.201,0.083,0.167,0.274
0.240571,0.202,0.079,0.166,0.273
0.240630,0.205,0.065,0.161,0.269
0.243865,0.202,0.057,0.157,0.262
0.244825,0.204,0.055,0.153,0.261
0.247622,0.202,0.042,0.148,0.253
0.249039,0.203,0.033,0.143,0.250
0.251393,0.202,0.018,0.139,0.246
0.255308,0.201,0.011,0.137,0.243
0.255459,0.199,0.001,0.133,0.240
0.260172,0.203,-0.012,0.132,0.242
0.260209,0.201,-0.016,0.132,0.240
0.261722,0.201,-0.023,0.132,0.241
0.267198,0.203,-0.024,0.132,0.243
0.270202,0.214,-0.024,0.133,0.253
0.274126,0.219,-0.016,0.133,0.257
0.274525,0.224,-0.017,0.135,0.262
0.276576,0.229,-0.020,0.138,0.268
0.278632,0.236,-0.013,0.139,0.274
0.282381,0.242,-0.011,0.142,0.281
0.283738,0.243,-0.011,0.142,0.282
0.285381,0.246,-0.013,0.145,0.286
0.287568,0.244,-0.017,0.148,0.286
0.294994,0.246,-0.010,0.149,0.287
0.300007,0.246,-0.010,0.153,0.289
0.300079,0.244,-0.007,0.154,0.289
