# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-03 19:35:49.181
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.006920,4.9103,7.3283,3.2870,9.41
1.017435,3.9043,8.8008,2.1406,9.86
1.032070,3.4943,11.4226,2.3948,12.18
1.049500,3.7756,13.9109,3.5315,14.84
1.057210,6.2701,14.9971,10.9433,19.60
1.067622,7.8414,15.3786,6.6141,18.49
1.081174,4.3217,14.0264,6.1883,15.93
1.087769,-0.1722,11.1176,5.7006,12.50
1.099696,-2.2533,8.2135,0.8659,8.56
1.108129,-2.9476,6.3738,4.3279,8.25
1.118171,-3.5352,4.1007,1.7325,5.68
1.133914,-4.9021,2.6243,-1.9867,5.90
1.138507,-2.2084,3.9234,9.7694,10.76
1.148623,1.3191,2.6323,8.6079,9.10
1.158666,4.8341,2.2016,2.7957,6.00
1.169141,9.0631,2.6949,4.1730,10.34
1.181889,12.8084,2.7274,5.1351,14.07
1.189726,15.1352,1.8437,3.2969,15.60
1.198862,13.8985,1.2095,0.6615,13.97
1.209265,8.2877,1.5447,-1.2485,8.52
1.218952,3.3161,2.0570,-3.0725,4.97
1.231430,-0.4742,2.1101,-3.7684,4.34
1.239385,-2.8905,1.5678,-3.8140,5.04
1.249740,-3.3633,0.2855,-4.0414,5.27
1.259146,-3.6401,-1.4107,-3.7169,5.39
1.269956,-1.8281,-2.3806,-3.9681,4.98
1.283554,0.1490,-2.4700,-3.1619,4.02
1.290545,1.6983,-2.4132,-2.7094,4.01
1.301047,2.5548,-2.2807,-2.7536,4.39
1.314866,2.4087,-1.8228,-2.7702,4.10
1.320956,1.4717,-1.1912,-2.7183,3.31
1.331122,0.0978,-0.6348,-2.9791,3.05
1.340440,-1.2076,-0.1914,-3.3520,3.57
1.350683,-2.2108,0.1932,-3.7831,4.39
1.367624,-2.6966,0.4298,-4.0159,4.86
1.370610,-2.9630,0.6655,-3.9608,4.99
1.380666,-3.4525,1.0729,-4.4748,5.75
1.391462,-4.3009,1.5154,-5.5337,7.17
1.401244,-5.1380,1.3147,-5.6030,7.72
1.413133,-6.5850,1.4917,-5.0183,8.41
1.421742,-8.0988,1.6671,-4.9725,9.65
1.431321,-9.3443,2.0040,-4.9807,10.78
1.441909,-10.3443,1.5545,-4.8417,11.53
1.451997,-11.2208,1.0519,-7.1044,13.32
1.463376,-11.8332,0.6559,-5.0044,12.86
1.472050,-12.0815,0.2000,-6.1517,13.56
1.482789,-12.6248,-0.2435,-6.0325,13.99
1.491964,-13.4651,-0.7995,-5.1296,14.43
1.501806,-14.0074,-1.2627,-5.6177,15.14
1.515457,-13.7642,-0.7848,-5.9232,15.01
1.522369,-13.7688,-0.3706,-5.4933,14.83
1.533123,-12.3373,1.6049,-4.4180,13.20
1.549228,-7.8872,5.0755,-1.0912,9.44
1.552498,-3.3725,3.0248,2.8549,5.35
1.565971,2.4219,1.4327,6.2339,6.84
1.572858,4.1914,0.0125,1.3019,4.39
1.584105,3.0947,0.6168,-10.5317,10.99
1.592816,3.6351,4.5501,-13.8195,15.00
1.604659,1.3927,9.7187,-5.4496,11.23
1.616047,-2.7540,12.0312,-5.1105,13.36
1.624201,-1.4176,13.0065,-1.3115,13.15
1.633997,4.0608,6.3327,1.0081,7.59
1.649971,1.7261,-2.1250,1.7667,3.26
1.653128,-4.0854,-4.9089,-0.1628,6.39
1.666093,-7.6749,-4.2047,-1.6648,8.91
1.673686,-9.8188,-1.2616,-1.1212,9.96
1.684285,-7.7459,2.0025,-1.4889,8.14
1.699540,-5.7238,2.2586,-0.4972,6.17
1.703822,-5.4120,-0.0885,-0.5666,5.44
1.716926,-3.7311,-1.5052,-0.1516,4.03
1.724566,-1.3858,-0.2973,-1.2838,1.91
1.734270,-0.0290,0.8947,-1.1440,1.45
1.750378,-0.3383,1.2452,0.5735,1.41
1.754558,-1.0234,0.9749,-0.9821,1.72
1.765437,-0.9780,0.6196,-0.3212,1.20
1.774563,-0.9902,0.1564,-1.3182,1.66
1.785318,-0.8043,-0.0567,-1.0961,1.36
1.799460,-0.9735,-0.1078,0.4437,1.08
1.805726,-0.8355,-0.1085,0.7447,1.12
1.816022,-0.0075,0.1569,1.0432,1.05
1.825405,0.8987,0.3466,0.5926,1.13
1.835272,1.4076,0.1204,0.5084,1.50
1.849151,1.2845,-0.1144,0.3044,1.33
1.856157,0.8085,0.1075,0.1484,0.83
1.866314,0.2832,0.3972,0.2341,0.54
1.875769,0.7202,0.8193,0.1430,1.10
1.886436,1.3467,0.6061,0.7432,1.65
1.899495,1.6792,0.3271,-0.5753,1.80
1.906881,1.6038,0.0426,0.2772,1.63
1.916350,1.1712,-0.0509,-0.3775,1.23
1.926340,0.4838,0.0876,-0.2821,0.57
1.939341,0.5669,0.5413,-0.2657,0.83
1.952138,0.5691,1.0304,0.1304,1.18
1.967244,1.8997,1.5439,1.0377,2.66
1.979589,2.4651,1.6300,1.8847,3.51
1.986637,3.4762,1.8267,2.1631,4.48
2.001365,3.9975,2.5416,2.9107,5.56
2.007477,4.6453,3.2350,2.9584,6.39
2.017154,4.6089,3.5643,2.2414,6.24
2.031758,4.3692,3.8333,2.1313,6.19
2.037527,4.7507,4.3939,2.8427,7.07
2.048675,5.5798,5.5732,3.3056,8.55
2.057336,6.2940,6.9745,3.1779,9.92
2.068314,6.0532,8.1219,2.7032,10.48
2.083168,6.3019,9.3624,2.7028,11.60
2.088466,7.4310,10.7906,4.2825,13.78
2.099412,7.7584,13.4153,4.4314,16.12
2.108349,6.7690,15.3002,4.9139,17.44
2.118631,7.5987,16.5222,8.0636,19.89
2.128507,9.3077,17.9019,10.3197,22.66
2.139128,10.6452,17.6773,8.9203,22.48
2.150441,9.7749,14.8897,7.4538,19.31
2.158365,3.5156,8.5987,6.7032,11.46
2.169359,-2.2562,4.9915,7.2665,9.10
2.179569,-3.1712,2.5854,2.6187,4.86
2.188643,-3.7264,2.7218,-9.7095,10.75
2.199345,-5.0819,3.8471,-1.6139,6.58
2.214043,4.6684,3.1284,14.0399,15.12
2.219253,8.1274,1.8296,6.2329,10.40
2.230257,7.6394,0.1230,-0.2080,7.64
2.239705,7.1498,-0.3709,-3.3875,7.92
2.249791,7.1712,0.1342,-0.4188,7.18
2.265656,6.5972,-0.1354,1.6127,6.79
2.270290,5.7792,-0.4807,-0.3447,5.81
2.282263,4.8066,-0.4184,-2.2193,5.31
2.290090,3.5291,-0.2468,-3.0401,4.66
2.303517,2.1593,-0.0118,-2.8246,3.56
2.315187,1.1118,0.2307,-2.7806,3.00
2.319997,0.2348,0.2951,-3.1308,3.15
2.330656,-0.6554,0.1819,-3.1622,3.23
2.340195,-1.2048,0.1217,-3.4059,3.61
2.350840,-1.0826,0.0533,-4.0081,4.15
2.365842,-1.5195,0.1520,-4.5629,4.81
2.371013,-2.7306,0.3311,-4.4558,5.24
2.381601,-3.6694,0.7387,-4.1225,5.57
2.390970,-4.4250,1.3198,-4.3093,6.32
2.401275,-5.4446,1.7693,-4.7714,7.45
2.414504,-6.6451,2.1308,-4.4832,8.29
2.421525,-7.7861,2.4788,-3.8529,9.03
2.431683,-7.5218,2.8786,-4.1746,9.07
2.441169,-7.7388,3.2390,-4.8116,9.67
2.452100,-8.3091,3.7567,-4.4428,10.14
2.464613,-9.2009,3.3325,-4.3051,10.69
2.472271,-9.8651,3.0324,-5.0393,11.49
2.482200,-9.5977,2.8384,-5.0498,11.21
2.498644,-9.2470,2.0408,-5.0242,10.72
2.502295,-11.2634,0.4727,-5.5719,12.58
2.515133,-12.3526,-1.1035,-4.9702,13.36
2.522513,-13.4316,-1.4241,-4.8479,14.35
2.532673,-13.7785,-1.7147,-4.4792,14.59
2.548719,-13.9359,-1.7616,-5.4448,15.07
2.552860,-14.1879,-2.0377,-3.7864,14.83
2.564513,-14.2993,-0.7899,-4.7238,15.08
2.573035,-14.2582,1.4525,-4.2657,14.95
2.584288,-12.6132,4.4832,3.0409,13.73
2.603322,-13.4244,5.7105,2.2590,14.76
2.624568,1.6559,6.6380,-4.8916,8.41
2.633573,4.2625,10.6228,-3.2244,11.89
2.649521,6.0873,10.9626,-12.6872,17.84
2.653899,1.7980,9.3332,-10.5861,14.23
2.666105,-2.4510,7.8222,1.9237,8.42
2.673938,-0.4771,-0.2009,1.8377,1.91
2.684477,0.4538,-4.4063,1.2507,4.60
2.698245,-3.1177,-1.8890,1.1780,3.83
2.704412,-7.0689,1.4155,0.2530,7.21
2.714645,-9.1192,3.4093,-0.6748,9.76
2.725002,-10.2078,3.6211,-0.4243,10.84
2.734587,-9.7131,1.2652,-0.2459,9.80
2.747849,-7.2891,-0.9950,0.1984,7.36
2.754969,-4.0486,-1.6644,-0.0328,4.38
2.764793,-0.0316,-0.4964,-0.9045,1.03
2.774621,1.6426,1.0815,-0.9726,2.19
2.785279,0.3458,1.3629,-0.0939,1.41
2.797170,-1.2660,0.6919,-0.6856,1.60
2.805216,-0.9110,0.1664,-0.9689,1.34
2.815793,-0.6724,0.0009,0.0277,0.67
2.825121,-2.0355,0.3094,-2.0007,2.87
2.835687,-1.7958,0.3502,-1.6258,2.45
2.847596,-1.0531,0.3406,-0.0373,1.11
2.856109,-0.7221,0.0349,-0.0560,0.73
2.865854,0.2180,-0.1192,0.2994,0.39
2.880600,0.6845,-0.1044,0.7252,1.00
2.886070,0.4671,-0.5419,0.4214,0.83
2.898025,0.3261,-0.9341,0.8145,1.28
2.906398,0.0526,-1.0452,0.9682,1.43
2.916108,0.5763,-0.4788,0.8722,1.15
2.931413,0.6472,-0.1382,0.4285,0.79
2.937156,0.6656,-0.0375,-0.0145,0.67
2.947106,1.2720,0.0512,-0.2999,1.31
2.957291,2.0408,0.4125,0.0459,2.08
2.967128,2.3733,0.6587,-0.1484,2.47
2.981224,2.0521,0.7805,0.1717,2.20
2.987193,1.6506,0.9620,0.8648,2.10
2.998275,1.1176,1.0737,0.8889,1.79
3.007469,0.9589,1.0570,1.5798,2.13
3.017636,1.4654,0.9756,1.1156,2.08
3.030399,2.3944,0.7251,1.7238,3.04
3.037768,3.0142,1.1471,2.3716,4.00
3.047696,3.4983,2.0677,1.8802,4.48
3.057301,4.4401,3.1539,2.3338,5.93
3.067707,4.9618,3.8930,2.2840,6.71
3.080841,4.4564,4.1329,1.9831,6.39
3.088442,4.5780,4.1977,2.1596,6.58
3.097849,5.3394,4.7840,2.7062,7.66
3.108048,5.9376,5.9506,3.5885,9.14
3.118575,7.3603,7.5531,4.9139,11.63
3.130757,8.2172,8.2701,5.6624,12.96
3.139931,8.3975,9.4871,5.2903,13.73
3.148374,8.4314,11.9202,6.8641,16.13
3.164479,8.6560,13.6157,7.1825,17.66
3.179676,9.3846,14.5684,9.4202,19.72
3.188896,11.8924,14.5968,10.6036,21.61
3.199001,11.2459,15.2065,10.6105,21.69
3.212278,10.8320,13.8283,10.1406,20.28
3.219033,6.5655,8.3778,10.0597,14.65
3.229868,1.4765,3.4216,8.8478,9.60
3.239340,-1.1406,1.9537,-0.2541,2.28
3.249612,-1.8913,2.2570,-9.6689,10.11
3.264070,-4.7070,-0.0323,5.1388,6.97
3.269557,4.3948,-0.3908,17.2345,17.79
3.279820,4.2357,-1.4011,1.4420,4.69
3.290192,4.9440,-2.7167,-0.2129,5.65
3.300242,8.2264,-1.4442,2.9648,8.86
3.313527,10.7456,-0.9276,4.7075,11.77
3.320233,10.0542,-0.8234,2.4741,10.39
3.330313,7.6917,0.0777,-1.0395,7.76
3.341006,4.9700,0.8574,-1.4840,5.26
3.350760,2.5372,0.8095,-0.2897,2.68
3.364125,0.3502,0.5575,-0.3148,0.73
3.371000,-1.3298,0.1748,-0.9973,1.67
3.380966,-2.1007,-0.1465,-1.4512,2.56
3.391087,-1.5199,-0.7234,-1.5707,2.30
3.401245,-0.3975,-1.1533,-1.8073,2.18
3.413197,-0.6348,-1.2346,-2.3751,2.75
3.421367,-0.7295,-0.9049,-1.5877,1.97
3.431587,-1.8801,-0.3976,-1.7584,2.60
3.441354,-2.5143,-0.1719,-1.4105,2.89
3.452290,-3.6217,0.2718,-1.7915,4.05
3.463826,-4.5033,0.8725,-2.6346,5.29
3.472041,-5.1299,1.9920,-3.3989,6.47
3.482293,-5.9372,3.0776,-3.9841,7.78
3.497025,-6.7321,3.9553,-3.8734,8.72
3.501832,-7.4908,5.3538,-3.8228,9.97
3.514236,-8.3885,6.5339,-4.2132,11.44
3.522555,-9.8898,6.9892,-5.3344,13.23
3.532658,-11.5276,7.1567,-6.1762,14.91
3.547290,-11.9660,6.8262,-6.5715,15.26
3.552685,-12.3419,4.5898,-8.2104,15.52
3.564118,-13.9455,2.6063,-7.4263,16.01
3.573216,-15.4879,1.3892,-8.4280,17.69
3.584052,-16.7567,1.0460,-6.8631,18.14
3.596881,-17.5921,1.6970,-7.2606,19.11
3.604787,-17.8693,3.5626,-8.0482,19.92
3.613217,-17.9806,5.5786,-2.4882,18.99
3.624618,-19.0241,7.2938,-3.2759,20.64
3.633568,-11.0581,9.4926,0.9809,14.61
3.646663,0.4226,3.8781,0.6378,3.95
3.653860,5.7451,3.6745,5.1379,8.54
3.664461,6.7610,3.5838,-6.6262,10.12
3.673251,2.8902,2.5747,-16.7847,17.23
3.684721,-1.2082,3.8191,-12.3614,12.99
3.697160,-3.7328,3.9716,-4.3562,6.98
3.704493,-1.6802,4.4693,0.6978,4.83
3.714407,0.0217,5.1787,-1.2692,5.33
3.724382,-1.3019,12.3823,10.5617,16.33
3.734479,-2.2883,13.4749,1.5752,13.76
3.747370,-6.6069,5.2405,4.1217,9.39
3.754870,-9.6494,-0.4650,-1.0550,9.72
3.764891,-11.5999,-3.7010,-2.0462,12.35
3.779896,-11.0531,-4.6897,-0.0267,12.01
3.785383,-6.9855,-1.3351,-0.1621,7.11
3.796631,-2.4238,1.0638,-1.9306,3.28
3.805602,0.4693,2.0902,-2.4622,3.26
3.815774,0.3971,1.4726,-1.8153,2.37
3.830158,0.2830,1.1737,-1.4895,1.92
3.835243,0.4437,0.7277,-1.1889,1.46
3.846712,-0.1848,0.2198,-0.7632,0.82
3.855917,-0.3266,-0.0973,0.1194,0.36
3.865952,0.0867,0.2083,0.0152,0.23
3.879718,-0.0627,-0.0637,-0.0606,0.11
3.886518,-0.5556,-0.4207,0.4085,0.81
3.901689,-0.5774,-0.3129,0.2502,0.70
3.906436,0.3388,-0.2738,0.0908,0.44
3.916209,0.8196,-0.3907,0.1405,0.92
3.928090,0.8805,-0.1643,0.9923,1.34
3.937175,1.4297,0.2649,0.9561,1.74
3.946643,1.3657,0.1446,0.5873,1.49
3.957042,0.8488,-0.0781,0.5607,1.02
3.966949,0.7056,0.1098,0.2053,0.74
3.980298,0.9771,0.3829,0.0411,1.05
3.986986,1.5420,0.5265,0.1364,1.64
3.997102,1.8785,0.5871,0.5313,2.04
4.007599,2.0512,0.9542,0.3825,2.29
4.017376,2.7100,1.3057,1.0585,3.19
4.031106,2.4047,1.4036,1.9966,3.43
4.037169,2.6909,1.5408,2.7052,4.12
4.047366,3.5637,2.0291,3.2876,5.26
4.057291,3.9738,2.4446,3.4918,5.83
4.068298,4.3461,3.2699,3.3726,6.40
4.079619,4.9208,3.4483,3.2514,6.83
4.088238,4.9514,3.7789,2.4808,6.70
4.097700,5.1359,4.1931,2.5714,7.11
4.112060,5.1786,4.9579,2.8286,7.71
4.118179,5.8696,6.4046,2.9842,9.19
4.129191,6.6420,7.5375,3.9341,10.79
4.140878,7.1817,8.1134,5.3676,12.09
4.152131,8.6995,10.2286,4.8166,14.27
4.160953,9.6855,12.1226,6.0819,16.67
4.169032,10.5529,14.6178,5.5643,18.87
4.179131,9.5835,15.1168,7.1871,19.29
4.188993,9.5461,15.6883,7.3734,19.79
4.198741,11.2492,17.1306,7.4937,21.82
4.213936,7.5870,15.9319,9.0102,19.81
4.219450,1.4710,9.2981,9.7614,13.56
4.229629,-0.2100,2.3489,9.4482,9.74
4.239481,-2.6101,-1.8399,0.8026,3.29
4.249588,-3.2575,0.4122,-2.3131,4.02
4.261882,-2.6225,0.9986,7.7238,8.22
4.269930,1.5093,-0.1739,11.7626,11.86
4.281191,4.2122,-1.2567,4.1618,6.05
4.290116,5.2830,-2.1304,1.1247,5.81
4.299920,6.0530,-3.5582,1.2516,7.13
4.315144,6.9163,-4.2865,2.1955,8.43
4.330993,7.7657,-3.7715,2.9301,9.12
4.339951,5.7251,-3.7338,1.9334,7.10
4.351083,2.7783,-3.3603,1.8151,4.72
4.362743,1.3597,-2.9405,1.4153,3.54
4.370859,1.4409,-1.6662,1.8245,2.86
4.380960,1.2786,-2.1849,1.8531,3.14
4.395915,1.3273,-2.7841,1.8861,3.62
4.401280,1.5528,-2.3728,1.9152,3.42
4.420281,1.3048,-1.2067,2.1287,2.77
4.420932,1.2789,-0.2347,1.9523,2.35
4.431231,1.2438,0.5900,1.4924,2.03
4.445853,0.3656,1.4519,0.6183,1.62
4.452120,-1.3946,2.0959,-0.1247,2.52
4.461571,-3.3133,3.0816,-1.2380,4.69
4.472202,-5.4791,4.3839,-2.2993,7.38
4.482255,-7.5814,5.2413,-3.1095,9.73
