# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 18:12:38.872
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004765,0.224,-0.117,-0.053,0.259
0.009320,0.246,-0.121,-0.059,0.281
0.009351,0.257,-0.121,-0.061,0.291
0.012215,0.279,-0.117,-0.064,0.310
0.015902,0.288,-0.117,-0.065,0.318
0.016496,0.298,-0.112,-0.064,0.325
0.018577,0.305,-0.111,-0.065,0.331
0.020666,0.312,-0.109,-0.066,0.337
0.023843,0.319,-0.106,-0.065,0.342
0.024962,0.323,-0.107,-0.065,0.347
0.027028,0.330,-0.109,-0.065,0.353
0.029146,0.334,-0.109,-0.065,0.358
0.033498,0.341,-0.113,-0.064,0.365
0.033517,0.343,-0.118,-0.064,0.368
0.035572,0.347,-0.121,-0.064,0.373
0.037614,0.349,-0.131,-0.063,0.378
0.042496,0.350,-0.131,-0.063,0.379
0.046122,0.355,-0.138,-0.060,0.386
0.049168,0.355,-0.145,-0.059,0.388
0.050338,0.353,-0.146,-0.058,0.386
0.052489,0.354,-0.148,-0.057,0.388
0.054577,0.352,-0.151,-0.055,0.387
0.057142,0.349,-0.153,-0.055,0.385
0.058837,0.348,-0.154,-0.054,0.384
0.061950,0.344,-0.159,-0.052,0.383
0.063044,0.343,-0.155,-0.050,0.380
0.065737,0.341,-0.149,-0.049,0.375
0.067316,0.341,-0.150,-0.049,0.375
0.069427,0.337,-0.153,-0.050,0.373
0.071512,0.333,-0.150,-0.050,0.369
0.074035,0.331,-0.151,-0.052,0.367
0.075757,0.326,-0.155,-0.055,0.365
0.077861,0.325,-0.156,-0.057,0.365
0.079947,0.320,-0.155,-0.058,0.360
0.082315,0.319,-0.162,-0.060,0.363
0.084192,0.316,-0.170,-0.059,0.364
0.086349,0.315,-0.172,-0.060,0.364
0.088423,0.312,-0.181,-0.061,0.366
0.090600,0.312,-0.183,-0.063,0.368
0.092678,0.305,-0.184,-0.064,0.362
0.094811,0.299,-0.183,-0.065,0.357
0.096907,0.289,-0.189,-0.068,0.352
0.099068,0.281,-0.195,-0.071,0.349
0.102195,0.276,-0.199,-0.074,0.348
0.103498,0.271,-0.208,-0.077,0.350
0.105403,0.267,-0.210,-0.081,0.349
0.107557,0.265,-0.220,-0.087,0.355
0.109718,0.265,-0.222,-0.088,0.357
0.111809,0.261,-0.217,-0.092,0.352
0.115361,0.256,-0.211,-0.093,0.345
0.115996,0.250,-0.201,-0.096,0.335
0.118144,0.240,-0.190,-0.093,0.321
0.120230,0.232,-0.176,-0.094,0.306
0.123790,0.224,-0.168,-0.093,0.296
0.124459,0.212,-0.170,-0.088,0.286
0.126609,0.213,-0.183,-0.091,0.296
0.128671,0.218,-0.211,-0.089,0.317
0.132321,0.226,-0.236,-0.087,0.338
0.135193,0.245,-0.278,-0.085,0.381
0.137142,0.260,-0.294,-0.083,0.401
0.142746,0.275,-0.307,-0.082,0.420
0.142835,0.284,-0.315,-0.081,0.432
0.143555,0.290,-0.319,-0.080,0.439
0.145639,0.289,-0.313,-0.080,0.433
0.154604,0.287,-0.308,-0.077,0.428
0.157191,0.251,-0.298,-0.076,0.397
0.160409,0.238,-0.304,-0.075,0.393
0.162704,0.232,-0.313,-0.074,0.396
0.165617,0.227,-0.316,-0.074,0.396
0.166805,0.221,-0.317,-0.072,0.393
0.169029,0.216,-0.314,-0.072,0.388
0.171013,0.206,-0.313,-0.072,0.381
0.173797,0.200,-0.310,-0.070,0.376
0.175295,0.192,-0.308,-0.065,0.368
0.177497,0.187,-0.308,-0.061,0.365
0.179469,0.182,-0.307,-0.058,0.361
0.182235,0.177,-0.302,-0.055,0.354
0.183747,0.172,-0.297,-0.052,0.347
0.185895,0.170,-0.294,-0.049,0.343
0.187970,0.170,-0.285,-0.046,0.334
0.190517,0.170,-0.278,-0.044,0.329
0.192213,0.170,-0.276,-0.042,0.327
0.194359,0.173,-0.271,-0.042,0.324
0.196448,0.177,-0.266,-0.042,0.322
0.198706,0.181,-0.260,-0.038,0.319
0.200625,0.188,-0.258,-0.037,0.321
0.203023,0.193,-0.253,-0.035,0.320
0.204912,0.198,-0.249,-0.032,0.320
0.207194,0.201,-0.244,-0.030,0.318
0.209117,0.204,-0.234,-0.027,0.312
0.211321,0.210,-0.228,-0.026,0.311
0.213361,0.212,-0.216,-0.024,0.304
0.215548,0.212,-0.205,-0.022,0.296
0.217659,0.213,-0.194,-0.019,0.289
0.219686,0.215,-0.184,-0.019,0.284
0.223765,0.212,-0.176,-0.016,0.276
0.226185,0.212,-0.159,-0.013,0.265
0.228151,0.210,-0.153,-0.010,0.260
0.230348,0.209,-0.150,-0.008,0.257
0.232451,0.207,-0.146,-0.006,0.254
0.234645,0.207,-0.144,-0.004,0.253
0.236814,0.206,-0.142,-0.002,0.250
0.238842,0.206,-0.140,-0.000,0.249
0.241926,0.207,-0.137,0.002,0.248
0.242981,0.206,-0.134,0.005,0.246
0.245186,0.206,-0.131,0.003,0.244
0.247359,0.209,-0.128,0.006,0.245
0.249390,0.210,-0.123,0.008,0.243
0.251493,0.211,-0.117,0.011,0.242
0.253577,0.211,-0.117,0.011,0.242
0.256923,0.212,-0.115,0.014,0.242
0.257851,0.215,-0.110,0.016,0.242
0.259908,0.215,-0.109,0.019,0.241
0.262180,0.216,-0.107,0.022,0.242
0.265408,0.215,-0.106,0.027,0.241
0.266289,0.215,-0.102,0.028,0.240
0.268392,0.212,-0.106,0.030,0.239
0.270500,0.211,-0.100,0.033,0.236
0.273734,0.210,-0.100,0.036,0.235
0.274752,0.209,-0.096,0.038,0.233
0.276882,0.204,-0.095,0.041,0.229
0.278995,0.203,-0.091,0.042,0.226
0.282094,0.203,-0.091,0.044,0.226
0.283253,0.198,-0.090,0.047,0.222
0.285377,0.194,-0.093,0.047,0.220
0.287472,0.192,-0.089,0.050,0.217
0.290653,0.188,-0.089,0.052,0.214
0.291724,0.182,-0.089,0.055,0.210
0.293963,0.181,-0.087,0.057,0.208
0.295916,0.176,-0.088,0.061,0.206
0.298740,0.173,-0.085,0.063,0.203
0.300164,0.166,-0.089,0.068,0.200
0.302488,0.160,-0.090,0.069,0.196
0.304383,0.155,-0.088,0.073,0.192
0.306961,0.146,-0.090,0.075,0.188
0.308610,0.140,-0.094,0.078,0.186
0.310816,0.133,-0.098,0.079,0.183
0.312907,0.124,-0.100,0.083,0.180
