# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 18:16:29.059
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.003183,-0.016,-0.079,-0.019,0.083
0.011568,-0.006,-0.064,-0.011,0.065
0.016848,0.007,-0.043,-0.004,0.044
0.016888,0.009,-0.035,-0.002,0.037
0.018818,0.011,-0.026,0.001,0.028
0.020902,0.007,-0.024,0.005,0.026
0.024604,0.003,-0.033,0.006,0.034
0.025214,0.002,-0.038,0.009,0.039
0.027278,-0.000,-0.046,0.012,0.048
0.029382,-0.000,-0.049,0.014,0.051
0.032783,-0.000,-0.050,0.018,0.053
0.033628,-0.000,-0.050,0.022,0.055
0.036485,0.003,-0.046,0.025,0.053
0.037866,0.006,-0.042,0.028,0.050
0.041170,0.006,-0.037,0.030,0.048
0.042124,0.008,-0.032,0.031,0.045
0.044241,0.011,-0.033,0.035,0.049
0.046317,0.012,-0.031,0.038,0.050
0.049351,0.013,-0.024,0.038,0.047
0.050586,0.016,-0.023,0.039,0.048
0.052683,0.017,-0.020,0.039,0.047
0.054816,0.018,-0.012,0.039,0.044
0.057790,0.020,-0.006,0.038,0.043
0.059036,0.022,-0.005,0.036,0.043
0.061123,0.022,-0.006,0.036,0.043
0.063268,0.022,-0.010,0.033,0.040
0.065841,0.020,-0.016,0.031,0.041
0.067530,0.020,-0.018,0.028,0.039
0.069617,0.022,-0.020,0.025,0.039
0.071730,0.023,-0.020,0.025,0.039
0.074085,0.024,-0.018,0.022,0.037
0.075985,0.024,-0.020,0.018,0.036
0.078163,0.030,-0.011,0.018,0.037
0.080256,0.033,-0.002,0.017,0.037
0.082615,0.035,0.006,0.016,0.039
0.084456,0.040,0.012,0.017,0.045
0.086605,0.041,0.023,0.017,0.050
0.088717,0.046,0.034,0.018,0.060
0.091137,0.051,0.049,0.019,0.073
0.092933,0.055,0.060,0.022,0.084
0.095093,0.061,0.070,0.022,0.095
0.097146,0.063,0.081,0.022,0.105
0.099306,0.069,0.088,0.022,0.114
0.101468,0.077,0.095,0.023,0.124
0.103562,0.080,0.095,0.024,0.127
0.105606,0.085,0.105,0.027,0.138
0.107775,0.088,0.109,0.028,0.142
0.109907,0.089,0.111,0.030,0.146
0.112020,0.089,0.121,0.031,0.153
0.114079,0.090,0.127,0.031,0.159
0.116265,0.089,0.128,0.033,0.159
0.118391,0.091,0.143,0.034,0.173
0.120430,0.095,0.151,0.031,0.182
0.122609,0.096,0.161,0.031,0.190
0.124682,0.104,0.172,0.029,0.203
0.126749,0.108,0.176,0.031,0.209
0.129001,0.112,0.184,0.034,0.219
0.132824,0.112,0.203,0.034,0.234
0.135333,0.115,0.230,0.031,0.259
0.137344,0.115,0.236,0.033,0.264
0.139620,0.118,0.235,0.035,0.265
0.141617,0.126,0.228,0.040,0.264
0.143753,0.137,0.213,0.045,0.257
0.145890,0.150,0.192,0.052,0.249
0.147989,0.168,0.166,0.061,0.244
0.150064,0.188,0.153,0.068,0.251
0.152242,0.206,0.151,0.072,0.266
0.155276,0.226,0.156,0.069,0.283
0.157799,0.240,0.169,0.069,0.302
0.158540,0.254,0.187,0.067,0.322
0.160637,0.262,0.208,0.067,0.341
0.162780,0.265,0.220,0.071,0.351
0.165820,0.264,0.230,0.073,0.357
0.167056,0.261,0.235,0.079,0.360
0.169141,0.255,0.233,0.083,0.355
0.171243,0.245,0.233,0.088,0.350
0.174458,0.242,0.235,0.093,0.349
0.175472,0.235,0.239,0.096,0.349
0.177570,0.231,0.241,0.096,0.347
0.179677,0.229,0.246,0.100,0.351
0.182562,0.229,0.257,0.100,0.358
0.183949,0.233,0.274,0.102,0.374
0.186055,0.234,0.291,0.104,0.387
0.188269,0.232,0.310,0.104,0.401
0.190801,0.228,0.335,0.111,0.420
0.192416,0.221,0.357,0.119,0.436
0.194527,0.220,0.375,0.128,0.453
0.196625,0.215,0.393,0.134,0.468
0.199145,0.215,0.408,0.140,0.482
0.200857,0.217,0.419,0.139,0.492
0.203008,0.221,0.437,0.140,0.510
0.205101,0.226,0.446,0.141,0.519
0.207508,0.233,0.463,0.146,0.539
0.209348,0.239,0.484,0.156,0.562
0.211455,0.248,0.507,0.168,0.589
0.213571,0.257,0.525,0.188,0.614
0.215739,0.267,0.538,0.201,0.633
0.217782,0.277,0.545,0.209,0.646
0.219931,0.292,0.544,0.207,0.651
0.222013,0.306,0.550,0.203,0.661
0.224282,0.317,0.558,0.206,0.674
0.226259,0.321,0.574,0.217,0.693
0.228457,0.328,0.595,0.232,0.718
0.230550,0.331,0.618,0.249,0.744
0.232719,0.327,0.623,0.260,0.750
0.234760,0.325,0.617,0.265,0.746
0.236871,0.320,0.613,0.265,0.741
0.238975,0.316,0.605,0.268,0.733
0.241252,0.311,0.604,0.283,0.736
0.243306,0.306,0.602,0.295,0.737
0.245431,0.294,0.589,0.297,0.722
