# Target Sample Rate: 479 Hz
# Max Device Sample Rate: 479 Hz
# Recording started at: 2026-06-14 17:52:16.866
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
4.502394,0.097,-0.215,0.013,0.236
4.510928,0.099,-0.233,0.010,0.254
4.524047,0.099,-0.225,0.008,0.246
4.527771,0.090,-0.197,0.010,0.217
4.533166,0.090,-0.187,0.010,0.208
4.536200,0.086,-0.167,0.012,0.188
4.541413,0.084,-0.165,0.011,0.186
4.541444,0.089,-0.164,0.011,0.187
4.542157,0.088,-0.158,0.012,0.181
4.544482,0.084,-0.148,0.012,0.171
4.549134,0.086,-0.144,0.013,0.168
4.549317,0.086,-0.140,0.013,0.165
4.550604,0.086,-0.138,0.013,0.163
4.552852,0.086,-0.134,0.013,0.160
4.559770,0.086,-0.131,0.012,0.157
4.567009,0.088,-0.122,0.015,0.151
4.570116,0.090,-0.109,0.016,0.142
4.574672,0.093,-0.109,0.018,0.144
4.574694,0.092,-0.106,0.018,0.142
4.576192,0.094,-0.108,0.018,0.144
4.578594,0.094,-0.106,0.021,0.143
4.582987,0.098,-0.105,0.019,0.145
4.583040,0.099,-0.106,0.019,0.147
4.584977,0.101,-0.106,0.021,0.148
4.586956,0.104,-0.110,0.022,0.153
4.590618,0.106,-0.110,0.021,0.154
4.590841,0.109,-0.108,0.019,0.154
4.593094,0.110,-0.111,0.021,0.158
4.595062,0.111,-0.106,0.022,0.155
4.598290,0.111,-0.104,0.021,0.154
4.599315,0.108,-0.109,0.019,0.154
4.601416,0.112,-0.104,0.018,0.154
4.603507,0.112,-0.098,0.023,0.151
4.606062,0.115,-0.098,0.022,0.152
4.608946,0.119,-0.098,0.021,0.155
4.610182,0.122,-0.099,0.021,0.159
4.612515,0.121,-0.097,0.019,0.156
4.616827,0.122,-0.097,0.017,0.157
4.616868,0.126,-0.097,0.019,0.160
4.618697,0.126,-0.097,0.018,0.160
4.621360,0.128,-0.092,0.017,0.159
4.625949,0.130,-0.089,0.018,0.158
4.629269,0.134,-0.086,0.016,0.160
4.634246,0.134,-0.087,0.017,0.161
4.634278,0.134,-0.083,0.016,0.159
4.635306,0.137,-0.079,0.016,0.159
4.637438,0.136,-0.081,0.016,0.159
4.645682,0.137,-0.076,0.015,0.157
4.652447,0.143,-0.065,0.015,0.158
4.658092,0.147,-0.066,0.013,0.161
4.658148,0.148,-0.068,0.015,0.164
4.661223,0.156,-0.066,0.015,0.170
4.666562,0.160,-0.062,0.017,0.173
4.669620,0.166,-0.079,0.016,0.185
4.671569,0.170,-0.083,0.016,0.190
4.674445,0.173,-0.081,0.012,0.192
4.675576,0.176,-0.089,0.016,0.198
4.677649,0.181,-0.088,0.016,0.202
4.683204,0.180,-0.094,0.016,0.203
4.683240,0.183,-0.099,0.016,0.209
4.684002,0.188,-0.094,0.017,0.211
4.686308,0.191,-0.100,0.018,0.216
4.693681,0.197,-0.101,0.019,0.222
4.701499,0.216,-0.100,0.019,0.239
4.710094,0.230,-0.094,0.022,0.249
4.720702,0.227,-0.094,0.013,0.246
4.728326,0.214,-0.089,0.008,0.232
4.738252,0.198,-0.088,0.008,0.217
4.741290,0.176,-0.070,0.005,0.189
4.743359,0.169,-0.068,0.006,0.182
4.745674,0.165,-0.070,0.006,0.179
4.749281,0.156,-0.073,0.007,0.173
4.750085,0.153,-0.066,0.007,0.167
4.751718,0.143,-0.067,0.010,0.158
4.753845,0.138,-0.057,0.008,0.150
4.758956,0.133,-0.055,0.011,0.144
4.762285,0.119,-0.045,0.016,0.128
4.767044,0.117,-0.040,0.016,0.125
4.767069,0.110,-0.037,0.016,0.117
4.769234,0.106,-0.037,0.018,0.114
4.774796,0.103,-0.027,0.018,0.108
4.777677,0.087,-0.016,0.027,0.092
4.779782,0.084,-0.010,0.029,0.090
4.785365,0.082,-0.010,0.032,0.088
4.793678,0.079,-0.001,0.043,0.090
4.804088,0.104,-0.013,0.068,0.125
4.807017,0.254,0.005,0.186,0.315
4.809035,0.314,0.021,0.228,0.389
4.811062,0.401,0.031,0.291,0.496
4.814319,0.533,0.062,0.365,0.649
4.815741,0.767,0.110,0.462,0.902
4.817660,1.269,0.181,0.581,1.408
4.819876,2.092,0.268,0.743,2.236
4.822537,3.150,0.376,0.909,3.300
4.823733,4.375,0.400,1.104,4.530
4.825816,5.648,0.385,1.258,5.799
4.831165,6.881,0.345,1.378,7.026
4.831190,8.070,0.242,1.474,8.207
4.832262,9.057,0.408,1.490,9.188
4.834302,9.920,0.513,1.506,10.047
4.836407,10.679,0.531,1.484,10.795
4.839130,11.332,0.627,1.461,11.443
4.840629,11.891,0.815,1.452,12.007
4.842748,12.342,1.076,1.428,12.471
4.844964,12.668,1.442,1.437,12.831
4.848734,12.866,1.930,1.465,13.092
4.849403,12.961,2.486,1.521,13.285
4.851417,12.991,3.025,1.587,13.432
4.853501,12.985,3.523,1.691,13.560
4.858286,12.977,3.973,1.807,13.692
4.858319,12.986,4.363,1.947,13.837
4.859829,12.999,4.629,2.085,13.956
4.861897,12.997,4.750,2.212,14.013
4.866695,12.958,4.759,2.331,13.999
4.866715,12.898,4.715,2.446,13.949
4.869393,12.822,4.599,2.530,13.855
4.870272,12.723,4.371,2.597,13.702
4.875738,12.683,4.099,2.647,13.589
4.878755,12.372,2.952,2.605,12.984
4.882526,12.091,2.507,2.568,12.613
4.883235,11.768,2.068,2.458,12.198
4.885488,11.389,1.581,2.299,11.726
4.887882,10.949,1.141,2.105,11.208
4.892076,10.481,0.745,1.870,10.673
4.892156,9.982,0.407,1.600,10.117
4.893712,9.477,0.108,1.294,9.565
4.895821,8.961,-0.128,0.964,9.014
4.900620,8.407,-0.277,0.590,8.432
4.900643,7.704,-0.402,0.208,7.717
